"sku","title","br_price","category","Imageurl"
"(JKA)140.42j","Atman/JK Animals automata akvárium fűtő 75W","4599","Akvarisztika>Fűtés/Hűtés>Fűtés","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(JKA)140.42j.jpg"
"(JKA)140.43j","Atman/JK Animals automata akvárium fűtő 100W","4699","Akvarisztika>Fűtés/Hűtés>Fűtés","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(JKA)140.43j.jpg"
"(JKA)140.44j","Atman/JK Animals automata akvárium fűtő 150W","4799","Akvarisztika>Fűtés/Hűtés>Fűtés","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(JKA)140.44j.jpg"
"(JKA)140.45j","Atman/JK Animals automata akvárium fűtő 200W","6499","Akvarisztika>Fűtés/Hűtés>Fűtés","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(JKA)140.45jjpg.jpg"
"(JKA)140.46j","Atman/JK Animals automata akvárium fűtő 250W","6799","Akvarisztika>Fűtés/Hűtés>Fűtés","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(JKA)140.46j.jpg"
"(JKA)140.47j","Atman/JK Animals automata akvárium fűtő 300W","6899","Akvarisztika>Fűtés/Hűtés>Fűtés","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(JKA)140.47j.jpg"
"(JKA)140.48j","Atman/JK Animals automata akvárium fűtő 350W","6999","Akvarisztika>Fűtés/Hűtés>Fűtés","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(JKA)140.48j.jpg"
"(EH)3611010","Eheim automata akvárium fűtő 25W","5989","Akvarisztika>Fűtés/Hűtés>Fűtés","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(EH)3611010.jpg"
"(EH)3612010","Eheim automata akvárium fűtő 50W","6289","Akvarisztika>Fűtés/Hűtés>Fűtés","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(EH)3612010.jpg"
"(EH)3613010","Eheim automata akvárium fűtő 75W","6789","Akvarisztika>Fűtés/Hűtés>Fűtés","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(EH)3613010.jpg"
"(EH)3614010","Eheim automata akvárium fűtő 100W","7389","Akvarisztika>Fűtés/Hűtés>Fűtés","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(EH)3614010.jpg"
